ImageID,Name,Status Completed (Y/N)
ami-002ebf16,EAST_ON_PS1012_WELLINGTONCDSB_042017_120_SMALL_,
ami-0034a916,CENTRAL_MO_PS1013_CSS_BLUE_SPRING_04202017_160_MEDIUM_,
ami-005b3a17,BASE_03_LARGE_SSL_Oracle83_220GB_v7.2,
ami-008882a566ed35996,WEST_TX_PS12024_DALLAS_08272018_220_LARGE_,
ami-00c3d67cf23161c55,WEST_AK_PS1104_CSS_NORTHWEST_ARCTIC_BOROUGH_04012018_V2_160_MEDIUM_,
ami-00fd82e6a67eab5b0,PM_APPLEGROVE_18-19_PS1202_KY_SALESDEMO_120_SMALL_,
ami-0120f04b046e89b77,PM_APPLEGROVE_18-19_PS1202_CT_SALESDEMO_120_SMALL_,
ami-01273e5876d96fc46,WEST_OK_PS1204_CSS_BYNGSCHOOL_MIGRATED_01052018_120_SMALL_,
ami-013ff06c,WEST_AZ_PS0924_VAIL_20160217_EDFI_MEDIUM_,
ami-0140ef2a4ce54faf6,PM_APPLEGROVE_18-19_PS1202_KS_TRAINING_120_SMALL_,
ami-015015f42b88260ed,WEST_IA_PS12023_CSS_LEWIS_CENTRAL_08222018_160_MEDIUM_,
ami-017eae7c,WEST_WY_PS1104_ALBANYCOUNTY_07192016_MIGRATED_220_LARGE_,
ami-0199467320358a661,PM_APPLEGROVE_18-19_PS1202_MS_SALESDEMO_120_SMALL_,
ami-02473e14,WEST_ND_PS1014_CSS_09092016_160_MEDIUM_,
ami-026e7f905a88d92d6,PM_APPLEGROVE_18-19_PS1202_MD_SALESDEMO_120_SMALL_,
ami-029896d107e5d0396,PM_APPLEGROVE_18-19_PS1202_ME_SALESDEMO_120_SMALL_,
ami-03266db035acb52c5,PM_APPLEGROVE_18-19_PS1202_LA_SALESDEMO_120_SMALL_,
ami-032c7915972f47aab,COMMON_AZ_PS1201_VAIL_09122018_EDFI_PUBLISHED_160_MEDIUM_,
ami-035e7679,WEST_ND_PS11032_CSS_LISBON_20171215_SMALL_,
ami-0382e54a661a37fbb,EAST_TN_z(DO_NOT_USE)_MASSIVE_PS11053_SHELBY_08212018_t2.2xlarge_255_MEDIUM_,
ami-03909914,AUTOMATION_WEST_WA_PS1002_CSS_KING_04202015_V2_120_SMALL_,
ami-03e12715,EAST_NJ_PS10_RAHWAY_20170119_120_SMALL_CSS_,
ami-03e5b07b3c7d84fdd,X_DUST_MIDLOTHIAN_09242018_MEDIUM_160_,
ami-04040f4f64bd746d2,z_Temp_Shelby_Large_20180823_220_LARGE_,
ami-0412da559a6ae290c,WEST_MS_PS1204_DESOTO_05112018_MIGRATED_160_MEDIUM_,
ami-04391712,COMMON_IN_PS1014_CSS_PLAINFIELD_06202016_DEX_120_SMALL_,
ami-0453a569,WEST_CA_PS0924_SANGER_20160318,
ami-0475167e,EAST_TN_PS1103_HAMBLEN_08092017_DEV_ENVIRON_160_MEDIUM_,
ami-04ad0a5ae569c527a,PM_APPLEGROVE_18-19_PS1202_MA_SALESDEMO_120_SMALL_,
ami-04ed88bdabf22aaf6,EAST_GENERIC_JAVA_ENVIRONMENT_160_MEDIUM_,
ami-052b827f,PM_APPLEGROVE_17-18_PS1103_IL_SALES_DEMO_120_LARGE_,
ami-0580dd275a32cdf9f,PM_APPLEGROVE_18-19_PS1202_ID_SALESDEMO_120_SMALL_,
ami-058df913,WEST_AK_PS1014_CSSV1_KODIAK_12072016_120_SMALL_,
ami-05a10d7f,PM_APPLEGROVE_17-18_PS1103_NO_STATE_SALES_DEMO_220_LARGE_,
ami-05a7d03050740c5d9,PM_APPLEGROVE_18-19_PS1202_MI_SALESDEMO_120_SMALL_,
ami-05ba116952f3e703f,CANADA_ON_PS12023_GRAND_ERIE_08222018_220_LARGE_,
